Effective Sea-Level Angular Momentum Functions (SLAM)

File name                    : ESMGFZ_SLAM_v1.1_24h_1976.asc
File contents                : effective angular momentum functions from global sea-level mass balance
File units                   : dimensionless earth rotation excitation functions
Issue date                   : 2019-05-14
Version number               : v1.2

References                   : Dobslaw, H., R. Dill, A. Groetzsch, A. Brzezinski, and M. Thomas (2010),
Seasonal polar motion excitation from numerical models of atmosphere, ocean,
and continental hydrosphere, J. Geophys. Res., doi:10.1029/2009JB007127

Contact                      : Henryk Dobslaw, dobslaw@gfz-potsdam.de
Affiliation                  : Deutsches GeoForschungsZentrum GFZ
Dep. 1: Geodesy and Remote Sensing
Sec. 1.3: Earth System Modelling
Telegrafenberg
14473 Potsdam, Germany

Temporal domain              : 01.01.1976 through 31.12.1976 (00:00 UTC)
Temporal resolution          : 24h
Number of data records       : 366
Subtracted mean value        : mean from 2003-01-01 to 2014-12-31
2.069815068012571e-13   3.295849259181661e-13   2.508252140298746e-14

Sea-level                    : Global mass balance according to ECMWF op. surface pressure and
continental hydrology from Land Surface Discharge Model (LSDM)

Notes : These SLAMs are part of a set of consistently processed Earth rotation excitation
function (AAM, OAM, HAM, SLAM). The ocean model MPIOM and the hydrological model LSDM were
forced consistently with operational forecast data from the ECMWF.

Further references to be mentioned, when LSDM data are used:
Dill, R., Hydrological model LSDM for operational Earth rotation and gravity field variations.
GFZ Scientific Technical Report STR08/09, 2008

------------------------------------------------------------------------------------------------------
YYYY MM DD HH   MJD           SLAM mass term
x-component             y-component             z-component

1985 01 02 12 46067.500	 -5.104397692908320e-09	 -1.040944656530208e-08	 -4.310908066045548e-10
1985 01 03 12 46068.500	 -5.410709802683523e-09	 -9.800348594334817e-09	 -3.983354883838397e-10
1985 01 04 12 46069.500	 -6.550368016065052e-09	 -1.548848878398080e-08	 -4.162247818951069e-10
1985 01 05 12 46070.500	 -9.196856100094075e-09	 -2.168901079633259e-08	 -4.498452467568918e-10
1985 01 06 12 46071.500	 -9.205367013568700e-09	 -2.548375768865210e-08	 -4.850506045886277e-10
1985 01 07 12 46072.500	 -1.137752390502241e-08	 -2.227884785020202e-08	 -4.633950961680189e-10
1985 01 08 12 46073.500	 -1.859552834902322e-08	 -1.761325159033670e-08	 -4.843740007464206e-10
1985 01 09 12 46074.500	 -1.988592076785948e-08	 -1.457872338257657e-08	 -4.866183752209491e-10
1985 01 10 12 46075.500	 -1.141054528536822e-08	 -1.216417649189190e-08	 -4.844257874535153e-10
1985 01 11 12 46076.500	 -9.761924321942407e-09	 -1.279416011981006e-08	 -4.211000537854992e-10
1985 01 12 12 46077.500	 -1.511356819360728e-08	 -1.970189409682001e-08	 -4.602414695207606e-10
1985 01 13 12 46078.500	 -1.919917174531700e-08	 -2.699592996910014e-08	 -5.654321562192051e-10
1985 01 14 12 46079.500	 -2.476559023516630e-08	 -2.195171679546348e-08	 -5.319518995156650e-10
1985 01 15 12 46080.500	 -2.358338899167560e-08	 -1.520569129082550e-08	 -5.483053408638959e-10
